"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"DHFL","EQ","16-Apr-2019","        167.20","        167.00","        176.45","        166.20","        170.60","        171.00","        171.89","   21723491","          3734081415.50","     145000","    3077662","         14.17"
"DHFL","EQ","18-Apr-2019","        171.00","        172.40","        172.90","        155.65","        156.05","        157.10","        160.52","   25656182","          4118344296.90","     157198","    6625743","         25.83"
"DHFL","EQ","22-Apr-2019","        157.10","        153.00","        153.05","        138.60","        138.90","        140.05","        143.81","   29400620","          4228009581.55","     183316","    5000644","         17.01"
"DHFL","EQ","23-Apr-2019","        140.05","        139.00","        148.60","        136.30","        140.65","        140.15","        143.29","   32161880","          4608611377.90","     187899","    3244021","         10.09"
"DHFL","EQ","24-Apr-2019","        140.15","        141.00","        146.30","        141.00","        144.75","        144.75","        143.90","   16152532","          2324271910.80","     100111","    2481950","         15.37"
"DHFL","EQ","25-Apr-2019","        144.75","        145.40","        151.00","        143.05","        144.95","        144.60","        146.92","   16168205","          2375496146.50","      96183","    2322558","         14.36"
"DHFL","EQ","26-Apr-2019","        144.60","        147.50","        148.90","        140.60","        143.50","        143.25","        144.57","   14637228","          2116146137.50","      89578","    1696192","         11.59"
"DHFL","EQ","30-Apr-2019","        143.25","        143.10","        143.20","        129.15","        132.80","        135.15","        133.26","   23539919","          3136917125.50","     141614","    5022119","         21.33"
"DHFL","EQ","02-May-2019","        135.15","        134.00","        142.25","        130.60","        133.90","        133.90","        136.43","   20108619","          2743495615.30","     119881","    2009447","          9.99"
"DHFL","EQ","03-May-2019","        133.90","        134.70","        142.80","        131.20","        142.45","        141.30","        137.59","   29016019","          3992336416.05","     164882","    3767111","         12.98"
"DHFL","EQ","06-May-2019","        141.30","        139.65","        139.65","        132.10","        132.50","        132.95","        134.07","   20724420","          2778588825.65","     117139","    4698473","         22.67"
"DHFL","EQ","07-May-2019","        132.95","        134.10","        135.50","        114.85","        115.85","        116.60","        123.59","   40282663","          4978487810.65","     224949","    7841695","         19.47"
"DHFL","EQ","08-May-2019","        116.60","        114.40","        120.50","        110.10","        116.45","        116.30","        116.45","   43462525","          5061121121.55","     227480","    3103271","          7.14"
"DHFL","EQ","09-May-2019","        116.30","        117.00","        120.20","        115.00","        116.00","        116.00","        117.49","   22773577","          2675733139.50","     128347","    2423242","         10.64"
"DHFL","EQ","10-May-2019","        116.00","        118.00","        119.40","        115.10","        116.20","        116.40","        117.48","   14732475","          1730775925.75","      80911","    1657063","         11.25"
"DHFL","EQ","13-May-2019","        116.40","        116.00","        116.00","        110.10","        111.05","        110.95","        112.51","   17593462","          1979501489.05","     106435","    1837700","         10.45"
"DHFL","EQ","14-May-2019","        110.95","        108.00","        119.65","        106.00","        117.15","        117.10","        114.80","   33435442","          3838488537.80","     177681","    3633380","         10.87"
"DHFL","EQ","15-May-2019","        117.10","        116.00","        116.50","        106.00","        106.50","        107.85","        110.95","   24005993","          2663466440.90","     148996","    3750109","         15.62"
"DHFL","EQ","16-May-2019","        107.85","        108.90","        109.00","        102.25","        108.00","        106.90","        105.84","   21296095","          2253911855.55","     130138","    1916751","          9.00"
"DHFL","EQ","17-May-2019","        106.90","        112.50","        116.30","        109.20","        112.35","        112.75","        112.27","   24796109","          2783743783.15","     147774","    2434088","          9.82"
"DHFL","EQ","20-May-2019","        112.75","        118.00","        126.40","        117.10","        125.70","        124.85","        123.35","   27597047","          3404115718.80","     164288","    4841155","         17.54"
"DHFL","EQ","21-May-2019","        124.85","        128.00","        132.00","        122.40","        130.50","        130.00","        127.72","   24776384","          3164399378.15","     169029","    2449344","          9.89"
"DHFL","EQ","22-May-2019","        130.00","        117.00","        121.75","        106.85","        117.25","        117.55","        114.99","   59919874","          6889958793.60","     353593","    4484838","          7.48"
"DHFL","EQ","23-May-2019","        117.55","        123.00","        124.70","        114.80","        115.75","        115.75","        120.14","   19618606","          2356931925.15","     151094","    3196493","         16.29"
"DHFL","EQ","24-May-2019","        115.75","        116.45","        122.30","        115.10","        120.50","        120.60","        119.20","   17800930","          2121861653.75","     107630","    2815677","         15.82"
"DHFL","EQ","27-May-2019","        120.60","        120.60","        123.45","        115.30","        119.25","        119.15","        119.90","   11443172","          1372002562.05","      71953","    1547012","         13.52"
"DHFL","EQ","28-May-2019","        119.15","        119.25","        126.00","        110.75","        114.80","        114.80","        116.37","   46825143","          5449163973.45","     287670","    4696663","         10.03"
"DHFL","EQ","29-May-2019","        114.80","        112.50","        119.50","        112.50","        115.60","        115.90","        116.79","   20658578","          2412665560.80","     119550","    2649481","         12.83"
"DHFL","EQ","30-May-2019","        115.90","        115.60","        118.50","        109.65","        114.35","        114.45","        114.24","   23340526","          2666458275.40","     138088","    2197516","          9.42"
"DHFL","EQ","31-May-2019","        114.45","        115.15","        116.00","        110.65","        111.10","        111.55","        112.88","   17194815","          1941033273.05","      92998","    2134478","         12.41"
"DHFL","EQ","03-Jun-2019","        111.55","        112.40","        115.00","        111.35","        113.25","        113.20","        113.16","   15059094","          1704069041.30","      79626","    1733044","         11.51"
"DHFL","EQ","04-Jun-2019","        113.20","        113.80","        115.75","        111.10","        111.80","        111.75","        113.58","   14080996","          1599304991.20","      72614","    1562421","         11.10"
"DHFL","EQ","06-Jun-2019","        111.75","        100.60","        100.60","         91.30","         94.30","         93.95","         96.26","   64964370","          6253208819.90","     336998","    9068444","         13.96"
